alpha,Re,CL,CD
5.04003,4245.53146,0.478,6.621
10.38498,8291.26731,0.438,4.52822
16.33894,6689.30768,8.53742,5.901
15.4543,4921.49378,11.50379,3.619
6.4173,6089.86625,0.87,0.565
10.49671,4859.03859,0.581,3.561
0.8188,2337.87222,0.084,0.918
6.4959,8533.81361,10.457,3.51237
1.45339,4452.26045,0.194,2.093
1.66527,5602.87061,0.293,1.068
-0.00431,1987.08664,0.141,0.979
10.06152,3968.33561,1.015,2.694
17.66956,6850.29789,13.75264,5.076
0.67464,4601.24928,0.287,0.895
19.25875,5828.11798,9.85642,0.404
10.77669,2730.30526,1.003,2.232
10.17027,6356.47368,0.453,3.519
6.4097,6520.09778,0.64,3.63468
11.70455,1235.46395,0.456,6.782
0.16889,1982.91886,0.287,4.444
10.2691,4157.06655,0.915,7.532
10.21133,7996.97313,0.475,4.822
1.11258,5037.89249,0.078,0.458
1.54977,4584.74007,0.156,2.747
10.22172,9471.7111,8.08787,3.3569
6.40152,7912.97755,0.901,5.62524
12.74804,1800.82393,0.89,6.452
10.09259,5889.99599,13.72943,1.542
15.70939,8152.06577,10.00231,4.26209
10.58869,2648.11079,0.551,0.873
9.8202,6167.43827,0.667,1.4177
12.09888,6348.71954,10.54628,5.065
12.54169,3599.26147,9.95216,4.12124
9.56742,1327.65051,0.108,3.898
12.85489,2414.27815,0.404,3.996
10.79279,5222.85507,0.865,3.627
6.69295,3743.92265,0.764,2.809
12.96622,5915.70743,9.55017,3.24202
8.41416,9728.39142,11.31442,4.58697
5.12309,5007.48249,0.767,4.237
2.54637,4019.78844,0.307,3.991
0.29008,6354.88428,0.799,0.936
1.78266,5273.80997,0.1,1.52787
13.67001,7207.26904,8.13382,6.92
25.96372,4256.46032,12.708,4.262
1.62012,5662.48614,0.336,2.506
3.13242,5256.70996,0.095,1.14
1.98186,4846.58791,0.108,0.643
10.77092,4552.2668,0.511,4.516
8.15836,4860.16753,1.036,4.67
0.52858,4718.84619,0.221,3.113
6.52505,4609.4481,0.46,3.586
2.22887,4885.21699,0.065,1.279
10.48192,7244.90498,0.67,3.70437
-0.1754,5837.65872,0.301,1.2
-0.04983,3264.82612,0.325,1.876
15.17713,6927.74633,2.88313,7.372
12.00644,5259.08331,8.33966,4.328
15.89859,5611.52651,15.29907,4.039
7.19646,5551.69627,0.931,4.567
-0.92339,6913.93452,1.761,1.154
9.91246,3297.94086,0.716,1.198
12.54731,5118.072,15.71851,4.704
8.65614,3038.04309,0.768,2.854
0.68128,3930.39212,0.232,0.502
6.2393,8246.18065,0.397,4.04062
6.27,2501.15708,0.705,2.996
10.43692,4359.9857,0.854,5.196
9.21851,2699.5208,0.914,3.156
7.75825,4615.33323,0.396,4.695
3.30015,5313.44537,0.202,2.4433
15.3236,4315.88336,6.706,4.544
12.8258,4467.55224,5.695,4.263
1.75558,4084.69188,0.972,4.429
6.90304,7972.20754,0.762,2.07448
1.60069,3634.4825,0.241,0.61
9.02548,10898.51271,13.01937,4.86908
-4.48837,3356.28712,0.048,2.873
4.6331,7769.3049,0.833,3.82355
9.5896,3963.76599,0.527,3.267
13.34062,6659.65291,8.01129,5.877
4.48603,5219.49349,0.55,3.507
13.31449,6358.22984,6.5723,5.366
13.19979,3417.69029,0.877,4.758
11.77585,6061.41587,10.37179,5.13
7.47782,5326.84509,0.642,4.847
-1.25876,5145.95779,0.181,0.683
14.85675,9279.68767,8.80434,4.13385
-1.39109,4941.04355,0.094,2.784
0.71396,7494.14652,5.53464,1.136
12.22755,3558.15291,8.53832,4.21219
14.0701,8738.18371,9.67577,3.43032
11.11793,5790.59272,9.881,2.592
5.92829,3412.04458,0.976,1.408
-2.04936,6576.5595,6.816,3.217
8.6561,4681.46297,0.67,4.381
1.41744,2718.88289,0.25,3.025
3.03782,7379.52487,13.26391,1.873
9.21765,6576.69241,0.905,4.64563
9.83528,3335.68032,0.965,1.441
4.11102,8016.60945,0.625,2.60438
6.88263,5536.94417,0.675,4.385
9.3741,2919.18389,0.736,0.223
-2.60816,4168.85312,0.427,3.33
18.38507,3002.72977,0.716,3.578
1.45973,3178.2476,0.28,1.417
14.17329,5789.22688,13.32729,2.099
3.2993,4186.22661,0.121,4.881
3.68544,6221.47034,0.801,0.864
10.35014,4524.68641,0.712,3.949
9.34041,1291.46132,0.295,3.874
-0.5095,4985.15157,0.073,2.395
5.4001,5175.03382,1.021,4.604
3.19395,3956.47098,0.234,1.533
11.22647,5918.61756,11.15675,1.142
8.30967,7099.125,0.813,3.53292
7.62312,5129.15467,0.947,3.423
9.54975,4873.86675,0.723,3.389
1.1065,4301.46484,0.319,2.468
8.67964,10180.60275,10.75889,4.80238
5.40399,1797.0441,0.572,4.257
14.85908,4506.30985,14.37085,4.283
8.53866,4297.66187,0.464,5.198
4.50531,4571.68454,0.688,3.486
8.6371,5660.30012,0.757,3.596
7.50395,6587.95735,0.364,2.30489
-1.31391,7053.20157,11.14073,0.733
1.94346,5849.68301,0.104,2.366
3.90569,7976.46907,0.432,4.1635
7.71425,4457.08097,0.938,3.374
15.005,5523.27291,6.13628,3.963
6.46921,5894.79263,10.52833,2.791
-0.44208,4895.34416,0.21,1.68172
7.31954,6040.91338,0.953,1.906
13.35968,2839.35103,0.943,3.8014
8.56858,8478.04522,9.079,4.79338
7.30713,4514.99312,0.768,4.886
16.98553,3830.88691,7.487,4.459
14.43519,3937.38461,8.58,0.791
4.09209,2035.78695,0.644,4.989
8.9761,6314.50222,1.039,3.538
7.61661,6325.20951,0.967,3.29502
7.96139,6480.7498,0.864,3.60661
5.87921,6832.2462,0.363,3.61061
4.55383,4955.57861,0.427,4.135
12.39254,3450.3407,11.81494,3.33599
3.32007,4886.79532,0.259,1.348
10.61769,1323.49232,0.109,3.775
7.84637,6558.66719,0.533,4.14063
6.64958,2999.36599,0.619,1.334
4.82539,5329.509,0.515,4.224
14.11576,1926.76634,0.572,7.165
4.62659,5684.85541,0.717,5.004
13.21214,3903.39583,10.097,2.165
4.92418,6882.72215,0.584,3.431
2.02312,6429.94246,0.731,1.532
11.08893,5018.31447,0.677,4.743
2.66663,4566.51845,0.161,2.753
12.10772,6800.13328,3.37762,5.26
11.89073,3527.37922,14.01038,4.31
5.41586,6014.5271,0.923,2.976
4.54972,3663.54732,0.518,1.222
16.02463,7237.38851,10.4308,6.392
3.64994,6017.69338,0.701,3.085
7.59148,3395.71824,0.713,1.247
10.07453,3598.67921,0.379,3.114
-0.36738,3697.5171,0.077,0.823
4.92909,4960.19456,0.853,3.427
13.59136,5959.99763,8.08673,4.58001
-1.7619,3472.35278,0.295,0.587
10.48629,8565.96497,10.845,4.60058
-0.65882,7163.11471,13.64612,2.883
12.97649,3399.63188,0.686,4.65
7.34261,6684.92568,0.453,0.37875
3.06495,7550.48147,2.704,1.731
-3.15828,3080.85789,0.081,2.656
9.16742,6667.64653,0.799,4.378
3.32288,7856.26583,10.11104,0.957
5.77283,7389.50938,0.737,4.5
7.87309,2203.86428,0.52,0.473
3.15811,3971.40068,0.325,2.824
16.51639,8027.02197,13.12012,6.10625
5.75752,2786.38616,0.632,3.192
-0.25149,3912.01551,0.108,0.78
6.37005,2830.44394,0.591,3.259
15.43458,8658.15733,13.10797,5.02884
4.69354,2724.27718,0.569,2.625
1.81894,6439.78757,0.541,1.966
0.8233,7879.25982,10.39335,2.031
13.38951,10282.97063,9.9391,3.86843
2.66072,6396.68755,0.98,2.92826
13.008,5995.87312,8.49878,4.19579
7.90802,6144.63363,0.91,3.11631
4.23015,2915.60324,0.36,2.885
9.82837,5736.86758,14.573,1.575
6.49014,6040.30376,0.931,0.805
14.02996,5744.56944,9.28424,1.793
11.44003,5217.36658,9.38547,4.733
5.61311,5730.85324,5.981,1.091
11.96086,4467.81412,16.485,4.996
3.30269,4452.95683,0.338,2.623
5.98741,6563.39246,0.762,2.87818
-3.2716,5810.01418,0.249,1.889
10.40013,5566.74892,0.372,4.102
12.05862,4972.25011,14.81185,4.72
12.96791,4862.83231,9.56989,5.058
6.82738,7858.70898,0.722,4.21175
12.32913,5478.05873,13.58331,3.517
6.02924,8104.83722,0.979,4.59398
7.32151,4572.37309,0.768,4.1
-1.24335,1882.23447,0.198,3.687
1.91127,1414.03108,0.084,4.091
9.09419,10781.63863,8.17471,3.61662
3.65763,2920.24489,0.028,0.904
15.2163,6978.85178,12.37392,6.776
-3.15972,4276.08315,0.307,4.652
4.31413,4873.599,0.439,4.237
19.56337,2693.87141,0.852,3.673
5.61072,1863.37506,1.009,4.508
3.54757,9042.22163,12.485,0.979
7.87249,6444.56634,0.509,3.66137
6.61647,5885.3788,14.51971,1.195
3.28437,3831.36018,0.166,2.9
6.66811,6808.78948,0.522,3.655
6.99367,928.94506,0.305,4.286
0.44312,4492.86465,0.048,2.119
19.09864,6870.95773,9.70002,5.553
2.31025,1271.18329,0.154,5.02
3.1743,2207.53995,0.264,0.661
9.60574,2419.88219,0.586,0.644
12.9168,5634.94058,8.13245,3.70764
-2.85927,6736.53792,5.609,1.998
4.60824,4293.65189,0.732,5.765
9.29849,5500.96839,0.886,4.676
12.00467,1960.00517,0.912,5.66
12.17526,6350.44398,13.61684,6.281
4.13982,4012.42897,0.706,6.863
6.60819,2291.72404,1.038,1.608
2.91579,5873.39868,0.186,2.811
8.75641,2604.32593,0.894,0.434
13.16046,6248.98085,12.90809,5.697
-2.5358,3822.37906,0.211,1.235
-2.35363,3027.78988,0.252,2.966
9.19918,6572.53528,0.5,4.967
0.95958,4266.44859,0.182,4.38
3.73179,3701.49344,0.189,1.328
11.0379,5322.09114,0.71,3.696
9.23833,5211.76033,0.91,4.472
6.13002,2318.02406,0.824,3.115
6.46226,5497.70624,0.8,4.733
8.59705,6628.57847,0.845,2.06167
10.29334,4347.79598,0.665,5.957
10.86153,4294.99558,0.772,6.324
7.82634,5323.04526,0.64,4.057
6.07791,5074.89913,0.479,4.44
8.18703,1213.91915,0.074,3.507
12.25184,7592.06474,13.06058,7.257
5.11465,3837.93693,0.443,0.293
14.86663,6354.87567,8.7078,5.956
6.89565,7111.91393,0.692,4.543
0.55954,4259.68051,0.104,4.112
9.95188,10811.95342,2.27732,4.06
4.16209,6173.44108,0.381,2.95319
9.25193,9949.32976,9.8481,4.27264
