alpha,Re,CL,CD
5.04003,4245.53146,0.47800,6.62100
10.38498,8291.26731,0.43800,4.52822
16.33894,6689.30768,8.53742,5.90100
15.45430,4921.49378,11.50379,3.61900
6.41730,6089.86625,0.87000,0.56500
10.49671,4859.03859,0.58100,3.56100
0.81880,2337.87222,0.08400,0.91800
6.49590,8533.81361,10.45700,3.51237
1.45339,4452.26045,0.19400,2.09300
1.66527,5602.87061,0.29300,1.06800
-0.00431,1987.08664,0.14100,0.97900
10.06152,3968.33561,1.01500,2.69400
17.66956,6850.29789,13.75264,5.07600
0.67464,4601.24928,0.28700,0.89500
19.25875,5828.11798,9.85642,0.40400
10.77669,2730.30526,1.00300,2.23200
10.17027,6356.47368,0.45300,3.51900
6.40970,6520.09778,0.64000,3.63468
11.70455,1235.46395,0.45600,6.78200
0.16889,1982.91886,0.28700,4.44400
10.26910,4157.06655,0.91500,7.53200
10.21133,7996.97313,0.47500,4.82200
1.11258,5037.89249,0.07800,0.45800
1.54977,4584.74007,0.15600,2.74700
10.22172,9471.71110,8.08787,3.35690
6.40152,7912.97755,0.90100,5.62524
12.74804,1800.82393,0.89000,6.45200
10.09259,5889.99599,13.72943,1.54200
15.70939,8152.06577,10.00231,4.26209
10.58869,2648.11079,0.55100,0.87300
9.82020,6167.43827,0.66700,1.41770
12.09888,6348.71954,10.54628,5.06500
12.54169,3599.26147,9.95216,4.12124
9.56742,1327.65051,0.10800,3.89800
12.85489,2414.27815,0.40400,3.99600
10.79279,5222.85507,0.86500,3.62700
6.69295,3743.92265,0.76400,2.80900
12.96622,5915.70743,9.55017,3.24202
8.41416,9728.39142,11.31442,4.58697
5.12309,5007.48249,0.76700,4.23700
2.54637,4019.78844,0.30700,3.99100
0.29008,6354.88428,0.79900,0.93600
1.78266,5273.80997,0.10000,1.52787
13.67001,7207.26904,8.13382,6.92000
25.96372,4256.46032,12.70800,4.26200
1.62012,5662.48614,0.33600,2.50600
3.13242,5256.70996,0.09500,1.14000
1.98186,4846.58791,0.10800,0.64300
10.77092,4552.26680,0.51100,4.51600
8.15836,4860.16753,1.03600,4.67000
0.52858,4718.84619,0.22100,3.11300
6.52505,4609.44810,0.46000,3.58600
2.22887,4885.21699,0.06500,1.27900
10.48192,7244.90498,0.67000,3.70437
-0.17540,5837.65872,0.30100,1.20000
-0.04983,3264.82612,0.32500,1.87600
15.17713,6927.74633,2.88313,7.37200
12.00644,5259.08331,8.33966,4.32800
15.89859,5611.52651,15.29907,4.03900
7.19646,5551.69627,0.93100,4.56700
-0.92339,6913.93452,1.76100,1.15400
9.91246,3297.94086,0.71600,1.19800
12.54731,5118.07200,15.71851,4.70400
8.65614,3038.04309,0.76800,2.85400
0.68128,3930.39212,0.23200,0.50200
6.23930,8246.18065,0.39700,4.04062
6.27000,2501.15708,0.70500,2.99600
10.43692,4359.98570,0.85400,5.19600
9.21851,2699.52080,0.91400,3.15600
7.75825,4615.33323,0.39600,4.69500
3.30015,5313.44537,0.20200,2.44330
15.32360,4315.88336,6.70600,4.54400
12.82580,4467.55224,5.69500,4.26300
1.75558,4084.69188,0.97200,4.42900
6.90304,7972.20754,0.76200,2.07448
1.60069,3634.48250,0.24100,0.61000
9.02548,10898.51271,13.01937,4.86908
-4.48837,3356.28712,0.04800,2.87300
4.63310,7769.30490,0.83300,3.82355
9.58960,3963.76599,0.52700,3.26700
13.34062,6659.65291,8.01129,5.87700
4.48603,5219.49349,0.55000,3.50700
13.31449,6358.22984,6.57230,5.36600
13.19979,3417.69029,0.87700,4.75800
11.77585,6061.41587,10.37179,5.13000
7.47782,5326.84509,0.64200,4.84700
-1.25876,5145.95779,0.18100,0.68300
14.85675,9279.68767,8.80434,4.13385
-1.39109,4941.04355,0.09400,2.78400
0.71396,7494.14652,5.53464,1.13600
12.22755,3558.15291,8.53832,4.21219
14.07010,8738.18371,9.67577,3.43032
11.11793,5790.59272,9.88100,2.59200
5.92829,3412.04458,0.97600,1.40800
-2.04936,6576.55950,6.81600,3.21700
8.65610,4681.46297,0.67000,4.38100
1.41744,2718.88289,0.25000,3.02500
3.03782,7379.52487,13.26391,1.87300
9.21765,6576.69241,0.90500,4.64563
9.83528,3335.68032,0.96500,1.44100
4.11102,8016.60945,0.62500,2.60438
6.88263,5536.94417,0.67500,4.38500
9.37410,2919.18389,0.73600,0.22300
-2.60816,4168.85312,0.42700,3.33000
18.38507,3002.72977,0.71600,3.57800
1.45973,3178.24760,0.28000,1.41700
14.17329,5789.22688,13.32729,2.09900
3.29930,4186.22661,0.12100,4.88100
3.68544,6221.47034,0.80100,0.86400
10.35014,4524.68641,0.71200,3.94900
9.34041,1291.46132,0.29500,3.87400
-0.50950,4985.15157,0.07300,2.39500
5.40010,5175.03382,1.02100,4.60400
3.19395,3956.47098,0.23400,1.53300
11.22647,5918.61756,11.15675,1.14200
8.30967,7099.12500,0.81300,3.53292
7.62312,5129.15467,0.94700,3.42300
9.54975,4873.86675,0.72300,3.38900
1.10650,4301.46484,0.31900,2.46800
8.67964,10180.60275,10.75889,4.80238
5.40399,1797.04410,0.57200,4.25700
14.85908,4506.30985,14.37085,4.28300
8.53866,4297.66187,0.46400,5.19800
4.50531,4571.68454,0.68800,3.48600
8.63710,5660.30012,0.75700,3.59600
7.50395,6587.95735,0.36400,2.30489
-1.31391,7053.20157,11.14073,0.73300
1.94346,5849.68301,0.10400,2.36600
3.90569,7976.46907,0.43200,4.16350
7.71425,4457.08097,0.93800,3.37400
15.00500,5523.27291,6.13628,3.96300
6.46921,5894.79263,10.52833,2.79100
-0.44208,4895.34416,0.21000,1.68172
7.31954,6040.91338,0.95300,1.90600
13.35968,2839.35103,0.94300,3.80140
8.56858,8478.04522,9.07900,4.79338
7.30713,4514.99312,0.76800,4.88600
16.98553,3830.88691,7.48700,4.45900
14.43519,3937.38461,8.58000,0.79100
4.09209,2035.78695,0.64400,4.98900
8.97610,6314.50222,1.03900,3.53800
7.61661,6325.20951,0.96700,3.29502
7.96139,6480.74980,0.86400,3.60661
5.87921,6832.24620,0.36300,3.61061
4.55383,4955.57861,0.42700,4.13500
12.39254,3450.34070,11.81494,3.33599
3.32007,4886.79532,0.25900,1.34800
10.61769,1323.49232,0.10900,3.77500
7.84637,6558.66719,0.53300,4.14063
6.64958,2999.36599,0.61900,1.33400
4.82539,5329.50900,0.51500,4.22400
14.11576,1926.76634,0.57200,7.16500
4.62659,5684.85541,0.71700,5.00400
13.21214,3903.39583,10.09700,2.16500
4.92418,6882.72215,0.58400,3.43100
2.02312,6429.94246,0.73100,1.53200
11.08893,5018.31447,0.67700,4.74300
2.66663,4566.51845,0.16100,2.75300
12.10772,6800.13328,3.37762,5.26000
11.89073,3527.37922,14.01038,4.31000
5.41586,6014.52710,0.92300,2.97600
4.54972,3663.54732,0.51800,1.22200
16.02463,7237.38851,10.43080,6.39200
3.64994,6017.69338,0.70100,3.08500
7.59148,3395.71824,0.71300,1.24700
10.07453,3598.67921,0.37900,3.11400
-0.36738,3697.51710,0.07700,0.82300
4.92909,4960.19456,0.85300,3.42700
13.59136,5959.99763,8.08673,4.58001
-1.76190,3472.35278,0.29500,0.58700
10.48629,8565.96497,10.84500,4.60058
-0.65882,7163.11471,13.64612,2.88300
12.97649,3399.63188,0.68600,4.65000
7.34261,6684.92568,0.45300,0.37875
3.06495,7550.48147,2.70400,1.73100
-3.15828,3080.85789,0.08100,2.65600
9.16742,6667.64653,0.79900,4.37800
3.32288,7856.26583,10.11104,0.95700
5.77283,7389.50938,0.73700,4.50000
7.87309,2203.86428,0.52000,0.47300
3.15811,3971.40068,0.32500,2.82400
16.51639,8027.02197,13.12012,6.10625
5.75752,2786.38616,0.63200,3.19200
-0.25149,3912.01551,0.10800,0.78000
6.37005,2830.44394,0.59100,3.25900
15.43458,8658.15733,13.10797,5.02884
4.69354,2724.27718,0.56900,2.62500
