IP,Ton,Toff,Pcg,TR,MRR,SR
3.490169244,152.959307,40.93188432,0.015199125,697.3643351,5.07776049,1.726466865
5.756352159,171.2258066,78.45260076,0.022729,574.2793,10.61035597,4.528224145
4.092276093,183.941134,82.28299349,0.027666923,622.359,8.537416176,4.663674
6.008101437,191.5199621,95.40638145,0.030321,584.8547,11.50379,4.42156
6.536018444,175.2286,43.62406034,0.342813,728.7413,13.78434001,5.42955594
6.244070318,192.6785,78.23559045,0.35344,789.1675167,16.46821,5.81680201
4.501424694,130.4265687,89.27461736,0.024445,595.7321,8.818609814,4.181755093
4.071864764,129.1375,63.8354466,0.025060237,440.0614,10.75597,3.512365387
3.664029907,112.9841,65.23424587,0.021171,401.1187,7.785907576,2.275884269
3.540297392,156.5724105,75.38558003,0.01576,431.871,3.81839,2.892305339
6.194547153,190.2286,58.75784007,0.038155671,711.6286214,12.99477789,5.616284731
5.805971767,140.2662673,77.04863776,0.030617501,718.8318717,10.73846271,3.925798
6.595195871,182.8608,73.40625066,0.041533279,730.5089,13.75264368,6.152666599
5.922462549,138.7572536,93.67779565,0.028792381,636.6296,8.38737,3.587014661
4.054333906,141.4491496,66.62752116,0.035868,438.7509,9.856420123,3.367376751
4.38629065,146.3165054,41.71638948,0.035723,650.379,10.18340945,4.384027182
6.373044782,194.2725,62.60833934,0.313565,551.4775099,13.77173516,5.108385972
6.072492941,147.2648004,73.54868031,0.034161,588.6635,11.75379,3.634676
3.617912215,158.9270671,58.44872312,0.021709,473.6442425,7.73481318,2.491242398
3.395359657,142.8669768,99.95289551,0.01748,554.2770221,6.221028303,2.736025493
3.576994831,198.4282811,49.37546265,0.018076,441.5760812,5.873799443,1.2619
6.508868507,146.5711514,79.82202819,0.396825,523.1492675,12.5262096,5.1935089
5.93804418,121.8354571,89.39694775,0.037702,536.9514,11.44917796,3.562255023
3.775127978,108.3689085,40.91593597,0.022412,456.7712,7.188993165,3.052246522
4.035014754,159.4449,60.1088615,0.030479,417.7303,8.08787191,3.356904
6.336811121,118.2548018,98.37823584,0.043731989,782.4971,14.15636945,5.625241912
4.751001208,176.0065601,56.54092744,0.033594611,647.0147,9.568733784,4.249699261
6.767452081,113.2668891,88.77543721,0.380719,781.4715,13.72943294,6.392326631
5.269940647,171.9771,64.86306308,0.023773963,431.3159,10.00230901,4.262094379
6.066476239,147.42383,70.42444728,0.026317489,534.2178,12.246,4.313996198
3.061407739,137.7529328,81.54339575,0.017204,436.2527,6.377471538,1.417704777
5.678258789,149.4103,62.57298727,0.027868627,475.4506,10.54627907,4.374395587
5.528712819,162.985247,69.70647752,0.023327,504.3591,9.952159629,4.121237937
3.888634653,181.0147059,44.59177705,0.0327045,609.1199,8.07804,3.571726252
6.556558048,195.9996205,69.95219394,0.375825,712.1882185,13.62916585,6.084980348
4.424118303,158.2806558,91.58218409,0.030086849,530.3400027,8.351441479,3.748264816
4.726478985,190.0177732,85.25336276,0.03576083,485.0563,10.31803392,4.135828433
5.532785917,145.8068,76.20382467,0.027195,510.7648561,9.55017009,3.242015205
5.616807688,150.1367989,64.48346654,0.035530147,467.5687,11.3144177,4.586967429
3.82987869,146.74241,85.63891585,0.022199808,410.0330431,7.54343392,2.069443749
4.315930292,163.4779811,63.93592576,0.024880756,590.8334,10.6639,3.398178588
3.062467138,153.1853785,98.7323608,0.017076,408.4612,2.4759408,2.552704938
3.138774764,167.0484587,58.73031502,0.018855,461.0954164,5.801337546,1.527873468
4.566247733,159.2814858,80.46726151,0.025474759,645.7168229,8.133817736,4.154045385
6.232478909,102.6264419,84.18523372,0.249914,523.9859695,17.8333,5.911787
5.570995763,167.4097,83.91558388,0.030140608,633.0749387,11.7074643,4.598862473
3.596693687,102.0473325,96.3592102,0.017424821,411.2525,5.452465047,2.166122632
6.728769694,178.6922,91.83296163,0.090875,798.1623731,14.35581881,6.139320996
3.74255839,155.1264083,79.75386205,0.01661,583.9468877,2.76785,1.31175
3.168474104,168.0948282,44.76289208,0.028173553,457.8671,4.321271415,2.570285627
4.95372461,160.2848047,47.85122808,0.031405,594.16795,9.134982367,3.607556006
6.396551754,190.973087,83.15802244,0.039546567,734.4864,14.45888389,6.322183
4.649316247,121.7709835,46.73890835,0.034035,531.4802635,10.36597823,3.791309446
5.420885326,161.0807,70.73802691,0.023441,510.5608709,9.596124346,3.704368258
3.862659884,166.2752953,75.24733323,0.029890051,551.0148233,7.09136763,3.417942432
3.230326036,156.5961621,62.49289673,0.017159,409.2814,6.574593071,2.258678629
3.477338946,120.4835234,85.65733293,0.020173,422.502,2.88313,1.596338687
5.864268337,177.9051677,44.93620008,0.025379,505.171,8.33966,3.621905
6.647039102,196.1026,53.33777712,0.043946687,553.29233,15.29907389,6.492049961
4.006771955,189.5059479,95.75382212,0.020481724,697.9936271,7.901110994,4.161626
6.88910057,117.078198,93.71896846,0.287962,758.9786,14.4341966,5.910509743
6.039734467,156.2353284,62.92461021,0.034116,694.6983239,11.72624331,4.418770569
6.91294174,155.2091785,93.22724641,0.038292883,556.5321058,15.7185139,6.962727822
5.371543858,157.2357896,58.98903719,0.031975,580.0325765,9.687481699,3.329903202
6.985523898,197.5459,90.11403077,0.039452292,743.5484,17.93812641,7.682517791
5.829806052,151.4835752,74.18056818,0.030495,583.0539,8.57188,4.040622
