alpha,Re,CL,CD
8.5970,6628.5785,0.8450,2.0617
7.3195,6040.9134,0.9530,6.1484
4.6082,4293.6519,0.7320,5.4078
1.1126,5037.8925,0.0780,0.4580
6.0292,8104.8372,0.9790,4.5940
12.3925,3450.3407,11.8149,3.3360
4.3668,2944.3771,0.7660,2.8962
14.4352,3937.3846,0.6380,4.5978
13.3406,6659.6529,8.0113,3.3135
-3.1583,3080.8579,0.0810,4.7242
8.7564,2604.3259,0.8940,5.6503
5.1147,3837.9369,0.4430,4.5143
6.6496,2999.3660,0.6190,4.3222
9.9519,10811.9534,2.2773,0.1723
6.4623,5497.7062,0.8000,3.8528
3.6854,6221.4703,0.8010,0.8640
13.3145,6358.2298,6.5723,1.7421
1.6007,3634.4825,0.2410,0.6100
5.2458,6036.1434,0.8130,7.2511
9.8353,3335.6803,0.9650,3.0161
10.3850,8291.2673,0.4380,4.5282
11.9609,4467.8141,0.6510,4.3456
6.5251,4609.4481,0.4600,6.3222
4.9242,6882.7222,0.5840,3.4310
6.3701,2830.4439,0.5910,3.6694
1.7827,5273.8100,0.1000,1.5279
3.9057,7976.4691,0.4320,4.1635
11.7045,1235.4640,0.4560,4.5590
6.4173,6089.8662,0.8700,5.4296
12.0047,1960.0052,0.9120,3.3120
5.9874,6563.3925,0.7620,2.8782
5.6107,1863.3751,1.0090,5.5862
9.5497,4873.8667,0.7230,4.8107
7.8464,6558.6672,0.5330,4.1406
7.5915,3395.7182,0.7130,2.9749
14.0701,8738.1837,9.6758,3.4303
6.6930,3743.9227,0.7640,4.1358
11.0379,5322.0911,0.7100,2.1449
19.0986,6870.9577,9.7000,3.8688
13.7164,6857.6577,11.4787,4.8995
12.6932,7603.9410,14.6906,5.3498
8.1584,4860.1675,1.0360,2.5703
3.0136,4869.3857,0.1980,2.2130
9.9125,3297.9409,0.7160,4.4188
6.6082,2291.7240,1.0380,2.3192
15.0050,5523.2729,6.1363,1.9144
2.2273,4435.5014,0.4820,0.8940
11.2265,5918.6176,11.1567,5.3781
6.9937,928.9451,0.2860,3.6233
10.0926,5889.9960,13.7294,6.3923
1.1065,4301.4648,0.3190,2.4680
10.5124,6863.9662,0.7900,1.6376
11.7172,3882.9418,0.9260,3.6806
12.2275,3558.1529,8.5383,4.2122
11.0889,5018.3145,0.6770,2.1603
8.1870,1213.9192,0.7040,3.9543
10.2217,9471.7111,8.0879,3.3569
3.5476,9042.2216,12.4850,0.9790
3.6499,6017.6934,0.7010,3.0850
10.2691,4157.0665,0.9150,1.2619
10.4001,5566.7489,0.3720,4.9833
5.1231,5007.4825,0.7670,3.5367
5.0026,1634.9984,0.6600,3.8026
4.2301,2915.6032,0.3600,4.1819
3.2844,3831.3602,0.1660,2.9000
7.1080,3119.5721,0.9230,3.7968
6.8826,5536.9442,0.6750,3.0313
-2.5358,3822.3791,0.2110,1.2350
6.1300,2318.0241,0.8240,2.0301
1.4597,3178.2476,0.2800,1.4170
3.1940,3956.4710,0.2340,1.5330
3.0378,7379.5249,13.2639,1.8730
4.1621,6173.4411,0.3810,2.9532
5.6131,5730.8532,0.7160,4.3680
12.2518,7592.0647,13.0606,5.7297
6.5968,7456.2843,0.3740,3.8316
8.3097,7099.1250,0.8130,3.5329
9.8284,5736.8676,0.5830,4.3090
-0.9234,6913.9345,1.7610,1.1540
14.8591,4506.3098,14.3709,5.0711
9.3863,3080.2548,0.5110,5.0160
12.2012,4397.8642,0.5540,3.0265
9.5896,3963.7660,0.5270,4.3864
3.3027,4452.9568,0.3380,2.6230
1.9435,5849.6830,0.1040,2.3660
-2.3536,3027.7899,0.2520,5.0407
7.7142,4457.0810,0.9380,5.0078
7.3215,4572.3731,0.7680,4.5125
4.6935,2724.2772,0.5690,3.6087
14.0830,4967.3976,11.8461,5.1487
11.8907,3527.3792,14.0104,6.0690
8.0332,9555.4557,11.7151,3.8107
5.4159,6014.5271,0.9230,3.0566
-2.8593,6736.5379,5.6090,1.9980
3.4325,917.2851,0.2080,3.4850
1.5498,4584.7401,0.1560,2.7470
8.6561,3038.0431,0.7680,3.3299
12.6338,5174.9394,3.7740,2.6683
6.8274,7858.7090,0.7220,4.2118
2.3103,1271.1833,0.1540,5.0200
0.4431,4492.8646,0.0480,2.1190
6.6165,5885.3788,14.5197,5.4703
0.5286,4718.8462,0.2210,3.1130
8.6796,10180.6027,10.7589,4.8024
7.9080,6144.6336,0.9100,3.1163
13.3597,2839.3510,0.9670,3.8014
8.8786,5766.9648,0.6680,4.0814
2.5531,5960.0099,0.2160,2.4940
19.5634,2693.8714,0.7580,0.6949
4.5497,3663.5473,0.5180,0.1779
6.4603,1186.8584,0.7460,7.5406
5.4040,1797.0441,0.5720,1.2715
5.0098,5887.9188,15.6419,5.8712
0.9596,4266.4486,0.1820,4.3800
9.5674,1327.6505,0.9370,3.5717
-0.3674,3697.5171,0.0770,0.8230
-0.5095,4985.1516,0.0730,2.3950
6.4692,5894.7926,10.5283,4.8456
9.2383,5211.7603,0.9100,5.4324
6.0779,5074.8991,0.4790,3.7632
13.0080,5995.8731,8.4988,4.1958
10.3501,4524.6864,0.7120,5.3410
4.6266,5684.8554,0.7170,5.4007
15.8986,5611.5265,15.2991,6.4920
-0.5017,2581.4298,0.2020,4.0610
4.1398,4012.4290,0.7060,4.4809
7.6231,5129.1547,0.9470,5.3464
3.0649,7550.4815,2.7040,1.7310
10.1899,3439.6655,0.5500,4.0173
7.4778,5326.8451,0.6420,1.0424
10.8615,4294.9956,0.7720,4.2144
10.4863,8565.9650,0.8060,4.6006
6.9030,7972.2075,0.7620,2.0745
7.9550,2301.5887,0.8780,4.4248
5.7728,7389.5094,0.7370,6.3404
10.2933,4347.7960,0.6650,2.2487
9.2985,5500.9684,0.8860,5.0336
10.7928,5222.8551,0.8650,3.7483
8.5686,8478.0452,1.0290,4.7934
16.0246,7237.3885,10.4308,4.7162
8.4142,9728.3914,11.3144,4.5870
12.9679,4862.8323,9.5699,4.1483
12.5417,3599.2615,9.9522,4.1212
4.3141,4873.5990,0.4390,2.9256
8.6371,5660.3001,0.7570,3.3841
3.3001,5313.4454,0.2020,2.4433
13.5914,5959.9976,8.0867,4.5800
14.4816,4947.9694,10.9863,5.5220
10.4819,7244.9050,0.6700,3.7044
8.8945,3315.9896,0.3930,4.1394
10.7767,2730.3053,1.0030,4.3840
4.4860,5219.4935,0.5500,3.8253
3.1324,5256.7100,0.0950,1.1400
6.8957,7111.9139,0.6920,3.7195
7.1965,5551.6963,0.9310,4.1616
6.2393,8246.1806,0.3970,4.0406
12.9765,3399.6319,12.5195,5.8245
4.6331,7769.3049,0.8330,3.8236
9.6057,2419.8822,0.5860,1.2112
-1.2588,5145.9578,0.1810,0.6830
15.3236,4315.8834,0.7330,3.1503
4.1110,8016.6094,0.6250,2.6044
-1.7619,3472.3528,0.2950,0.5870
2.2289,4885.2170,0.0650,3.7913
3.1581,3971.4007,0.3250,2.8240
14.1733,5789.2269,13.3273,5.2367
1.4174,2718.8829,0.2500,3.3676
0.6813,3930.3921,0.2320,0.5020
15.1771,6927.7463,2.8831,1.5963
15.1065,2860.5816,1.0180,0.8647
0.7140,7494.1465,5.5346,1.1360
13.1998,3417.6903,9.1079,3.2532
10.4369,4359.9857,0.8540,2.6564
6.6681,6808.7895,0.5220,5.5084
4.0921,2035.7869,0.6440,5.1171
3.8090,1874.0711,0.9880,6.5418
12.0989,6348.7195,10.5463,4.3744
14.8666,6354.8757,8.7078,3.9716
