alpha,Re,CL,CD
10.497,4859.039,0.581,5.817
25.964,4256.460,0.950,5.912
-0.510,4985.152,0.073,2.395
13.314,6358.230,6.572,1.742
7.758,4615.333,0.396,4.263
-2.608,4168.853,0.427,3.330
8.656,3038.043,0.768,3.330
0.714,7494.147,5.535,1.136
5.879,6832.246,0.363,3.611
-1.391,4941.044,0.094,3.633
8.569,8478.045,1.029,4.793
6.417,6089.866,0.870,5.430
15.216,6978.852,12.374,5.285
12.175,6350.444,13.617,6.652
2.546,4019.788,0.307,3.991
4.554,4955.579,0.427,6.153
11.226,5918.618,11.157,5.378
15.324,4315.883,0.733,3.150
15.177,6927.746,2.883,1.596
3.065,7550.481,0.942,1.731
1.452,4733.950,0.394,0.292
6.668,6808.789,0.522,5.508
9.219,2699.521,0.914,7.454
-0.659,7163.115,13.646,2.883
-1.314,7053.202,11.141,0.733
14.867,6354.876,8.708,3.972
1.031,4968.760,0.146,1.203
13.716,6857.658,11.479,4.899
3.323,7856.266,10.111,0.957
11.089,5018.314,0.677,2.160
-1.321,8728.857,0.982,1.579
8.680,10180.603,10.759,4.802
16.986,3830.887,0.649,0.688
4.486,5219.493,0.550,3.825
5.003,1634.998,0.660,3.803
7.950,7358.430,0.771,3.703
11.440,5217.367,9.385,4.528
8.310,7099.125,0.813,3.533
8.976,6314.502,1.039,5.909
2.310,1271.183,0.154,5.020
4.314,4873.599,0.439,2.926
8.033,9555.456,11.715,3.811
0.681,3930.392,0.232,0.502
7.322,4572.373,0.768,4.513
10.350,4524.686,0.712,5.341
8.158,4860.168,1.036,2.570
7.873,2203.864,0.520,5.597
13.008,5995.873,8.499,4.196
8.472,5681.298,0.955,6.037
2.661,6396.688,4.653,2.928
1.107,4301.465,0.319,2.468
3.785,6380.435,0.747,5.063
2.023,6429.942,12.030,1.532
12.693,7603.941,14.691,5.350
8.187,1213.919,0.704,3.954
3.650,6017.693,0.701,3.085
14.857,9279.688,8.804,4.134
2.653,5694.175,0.979,0.949
6.896,7111.914,0.692,3.719
7.955,2301.589,0.878,4.425
6.525,4609.448,0.460,6.322
1.756,4084.692,0.972,4.429
8.539,4297.662,0.464,4.038
-3.272,5810.014,0.249,1.889
12.201,4397.864,0.554,3.027
1.819,6439.788,0.541,1.966
2.634,5727.993,0.116,0.423
13.591,5959.998,8.087,4.580
3.284,3831.360,0.166,2.900
8.637,5660.300,0.757,3.384
-4.488,3356.287,0.048,2.873
5.773,7389.509,0.737,6.340
1.453,4452.260,0.194,2.093
7.961,6480.750,0.864,3.607
0.290,6354.884,0.219,0.936
10.170,6356.474,0.453,5.108
17.645,8160.195,16.571,7.002
4.140,4012.429,0.706,4.481
4.092,2035.787,0.644,5.117
6.370,2830.444,0.591,3.669
7.908,6144.634,0.910,3.116
7.504,6587.957,0.364,2.305
12.826,4467.552,0.708,4.466
8.414,9728.391,11.314,4.587
3.658,2920.245,0.028,4.356
3.732,3701.493,0.189,1.328
9.820,6167.438,0.667,1.418
8.756,2604.326,0.894,5.650
5.040,4245.531,0.478,1.726
6.496,8533.814,0.874,3.512
0.675,4601.249,0.287,0.895
4.505,4571.685,0.688,2.559
15.106,2860.582,6.146,0.865
12.976,3399.632,12.520,5.824
16.025,7237.389,10.431,4.716
12.634,5174.939,3.774,2.668
9.952,10811.953,2.277,0.172
13.341,6659.653,8.011,3.313
-1.259,5145.958,0.181,0.683
8.894,3315.990,0.393,4.139
6.490,6040.304,0.931,3.285
10.482,7244.905,0.670,3.704
7.826,5323.045,0.640,2.473
7.343,6684.926,0.453,0.379
1.982,4846.588,0.108,3.541
3.038,7379.525,13.264,1.873
2.916,5873.399,0.186,2.811
12.006,5259.083,8.340,3.622
1.911,1414.031,0.084,4.091
6.903,7972.208,0.762,2.074
4.162,6173.441,0.381,2.953
1.620,5662.486,0.284,2.506
0.169,1982.919,0.287,4.444
9.835,3335.680,0.965,3.016
11.717,3882.942,0.926,3.681
11.705,1235.464,0.456,4.559
0.162,7386.781,4.677,0.324
3.303,4452.957,0.338,2.623
6.130,2318.024,0.824,2.030
19.563,2693.871,5.145,0.695
1.665,5602.871,0.203,1.068
15.899,5611.527,15.299,6.492
6.469,5894.793,10.528,4.846
-2.536,3822.379,0.211,1.235
14.070,8738.184,9.676,3.430
3.685,6221.470,0.801,0.864
10.437,4359.986,0.854,2.656
-2.049,6576.560,0.198,3.217
7.307,4514.993,0.768,2.276
10.486,8565.965,0.806,4.601
-0.050,3264.826,0.325,1.876
5.123,5007.482,0.767,3.537
-3.160,4276.083,0.307,4.652
6.462,5497.706,0.800,3.853
18.385,3002.730,7.043,2.635
6.650,2999.366,0.619,4.322
4.627,5684.855,0.717,5.401
4.694,2724.277,0.569,3.609
9.606,2419.882,0.586,1.211
4.863,7768.111,0.671,5.751
10.771,4552.267,0.511,1.312
10.211,7996.973,0.475,5.194
3.300,5313.445,0.202,2.443
3.906,7976.469,0.432,4.163
1.943,5849.683,0.104,2.366
5.010,5887.919,15.642,5.871
6.078,5074.899,0.479,3.763
9.340,1291.461,0.828,3.227
-1.243,1882.234,0.198,3.687
7.617,6325.210,0.967,3.295
7.320,6040.913,0.953,6.148
0.823,7879.260,10.393,2.031
5.928,3412.045,0.976,4.943
9.912,3297.941,0.716,4.419
9.828,5736.868,0.583,4.309
5.613,5730.853,0.716,4.368
12.393,3450.341,11.815,3.336
6.297,5376.578,0.785,2.779
6.239,8246.181,0.397,4.041
0.443,4492.865,0.048,2.119
12.329,5478.059,13.583,5.061
8.656,4681.463,0.670,6.078
5.400,5175.034,1.021,4.168
5.404,1797.044,0.572,1.271
-0.502,2581.430,0.202,4.061
14.482,4947.969,10.986,5.522
7.591,3395.718,0.713,2.975
0.819,2337.872,0.084,4.182
7.952,7511.223,0.961,4.725
15.435,8658.157,13.108,5.029
14.083,4967.398,11.846,5.149
11.961,4467.814,0.651,4.346
7.196,5551.696,0.931,4.162
-0.367,3697.517,0.077,0.823
4.929,4960.195,0.853,4.056
13.200,3417.690,9.108,3.253
3.320,4886.795,0.259,4.857
9.199,6572.535,0.500,5.144
6.608,2291.724,1.038,2.319
5.416,6014.527,0.923,3.057
10.062,3968.336,1.015,3.926
16.339,6689.308,8.537,4.664
11.891,3527.379,14.010,6.069
3.014,4869.386,0.198,2.213
8.879,5766.965,0.668,4.081
12.005,1960.005,0.912,3.312
10.400,5566.749,0.372,4.983
6.270,2501.157,0.705,4.346
11.332,4721.595,12.772,4.522
7.108,3119.572,0.923,3.797
12.855,2414.278,13.629,6.085
7.478,5326.845,0.642,1.042
4.111,8016.609,0.625,2.604
9.218,6576.692,0.905,4.646
6.410,6520.098,0.640,3.635
9.298,5500.968,0.886,5.034
7.872,6444.566,0.509,3.661
6.827,7858.709,0.722,4.212
13.160,6248.981,12.908,5.522
10.589,2648.111,0.551,6.383
13.360,2839.351,10.271,3.801
3.888,7337.380,0.590,4.076
10.093,5889.996,13.729,6.392
19.259,5828.118,9.856,3.367
8.597,6628.578,0.845,2.062
9.567,1327.651,0.937,3.572
-0.251,3912.016,0.108,0.780
5.115,3837.937,0.443,4.514
3.158,3971.401,0.325,2.824
12.968,4862.832,9.570,4.148
10.222,9471.711,8.088,3.357
